path;dataset;arquivo;pessoa;genero;emocao;intensidade;duracao
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/ale-f1-l1.wav;verbo;ale-f1-l1.wav;f1;f;alegria;;2.4516099773242632
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/ale-f1-l2.wav;verbo;ale-f1-l2.wav;f1;f;alegria;;3.916553287981859
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/ale-f1-l3.wav;verbo;ale-f1-l3.wav;f1;f;alegria;;3.4829931972789114
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/ale-f1-l4.wav;verbo;ale-f1-l4.wav;f1;f;alegria;;3.6843537414965986
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/ale-f1-l5.wav;verbo;ale-f1-l5.wav;f1;f;alegria;;2.3430612244897957
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/ale-f1-ns1.wav;verbo;ale-f1-ns1.wav;f1;f;alegria;;2.202562358276644
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/ale-f1-ns2.wav;verbo;ale-f1-ns2.wav;f1;f;alegria;;2.5880498866213153
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/ale-f1-ns3.wav;verbo;ale-f1-ns3.wav;f1;f;alegria;;1.9736961451247166
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/ale-f1-ns4.wav;verbo;ale-f1-ns4.wav;f1;f;alegria;;3.3621768707482995
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/ale-f1-ns5.wav;verbo;ale-f1-ns5.wav;f1;f;alegria;;4.258798185941043
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/ale-f1-q1.wav;verbo;ale-f1-q1.wav;f1;f;alegria;;1.8251927437641724
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/ale-f1-q2.wav;verbo;ale-f1-q2.wav;f1;f;alegria;;2.219365079365079
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/ale-f1-s1.wav;verbo;ale-f1-s1.wav;f1;f;alegria;;2.1130158730158732
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/ale-f1-s2.wav;verbo;ale-f1-s2.wav;f1;f;alegria;;2.2987755102040817
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/med-f1-l1.wav;verbo;med-f1-l1.wav;f1;f;medo;;2.9935374149659864
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/med-f1-l2.wav;verbo;med-f1-l2.wav;f1;f;medo;;4.46795918367347
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/med-f1-l3.wav;verbo;med-f1-l3.wav;f1;f;medo;;4.065850340136055
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/med-f1-l4.wav;verbo;med-f1-l4.wav;f1;f;medo;;4.61922902494331
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/med-f1-l5.wav;verbo;med-f1-l5.wav;f1;f;medo;;3.1275736961451246
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/med-f1-ns1.wav;verbo;med-f1-ns1.wav;f1;f;medo;;2.6360997732426306
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/med-f1-ns2.wav;verbo;med-f1-ns2.wav;f1;f;medo;;3.1275736961451246
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/med-f1-ns3.wav;verbo;med-f1-ns3.wav;f1;f;medo;;2.168888888888889
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/med-f1-ns4.wav;verbo;med-f1-ns4.wav;f1;f;medo;;3.467392290249433
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/med-f1-ns5.wav;verbo;med-f1-ns5.wav;f1;f;medo;;5.182834467120181
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/med-f1-q1.wav;verbo;med-f1-q1.wav;f1;f;medo;;2.546734693877551
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/med-f1-q2.wav;verbo;med-f1-q2.wav;f1;f;medo;;2.4573541666666667
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/med-f1-s1.wav;verbo;med-f1-s1.wav;f1;f;medo;;2.3233333333333333
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/med-f1-s2.wav;verbo;med-f1-s2.wav;f1;f;medo;;2.4126984126984126
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/rai-f1-l1.wav;verbo;rai-f1-l1.wav;f1;f;raiva;;2.024013605442177
/media/hbrandao/STORAGE_HDD_1TB/PPGI/VERBO/Audios/f1/rai-f1-l2.wav;verbo;rai-f1-l2.wav;f1;f;raiva;;3.373356009070295
